id,group,aritfact
3951,org.jetbrains.kotlin,kotlin-maven-noarg
3952,org.springframework.integration,spring-integration-file
3953,com.google.cloud,spring-cloud-gcp-pubsub-stream-functional-sample-source
3954,com.google.cloud,spring-cloud-gcp-pubsub-stream-functional-sample-sink
3955,org.springframework.cloud,spring-cloud-config-dependencies
3956,org.springframework.cloud,spring-cloud-config-monitor
3957,com.google.cloud,google-cloud-datastore
3958,com.google.cloud,google-cloud-storage
3959,com.google.cloud,google-cloud-memcache
3960,com.google.cloud,google-cloud-os-config
3961,com.google.cloud,google-cloud-workflows
3962,com.google.cloud,google-cloud-ids
3963,com.google.cloud,google-cloud-contact-center-insights
3964,com.google.cloud,google-cloud-managed-identities
3965,com.google.cloud,google-cloud-talent
3966,com.google.cloud,google-cloud-trace
3967,com.google.cloud,google-cloud-iamcredentials
3968,com.google.cloud,google-cloud-assured-workloads
3969,com.google.cloud,google-cloud-artifact-registry
3970,com.google.cloud,google-cloud-aiplatform
3971,com.google.cloud,google-cloud-binary-authorization
